Orden,Familia,Taxa,Ingles,Espanol_CR,Estatus,Species
,,Myiornis atricapillus,Black-capped Pygmy-Tyrant,Mosquerito Colicorto,R,Black-capped Pygmy-Tyrant
,,Lophotriccus pileatus,Scale-crested Pygmy-Tyrant,Mosquerito de Yelmo,R,Scale-crested Pygmy-Tyrant
,,Oncostoma cinereigulare,Northern Bentbill,Piquitorcido Norteño (Brujita),R,Northern Bentbill
,,Poecilotriccus sylvia,Slate-headed Tody-Flycatcher,Espatulilla Cabecigrís,R,Slate-headed Tody-Flycatcher
,,Todirostrum cinereum,Common Tody-Flycatcher,"Espatulilla Común (Espatulilla, Mantequillilla)",R,Common Tody-Flycatcher
,,Todirostrum nigriceps,Black-headed Tody-Flycatcher,Espatulilla Cabecinegra,R,Black-headed Tody-Flycatcher
,,Rhynchocyclus brevirostris,Eye-ringed Flatbill,Piquiplano de Anteojos,R,Eye-ringed Flatbill
,,Tolmomyias sulphurescens,Yellow-olive Flycatcher,Piquiplano Azufrado,R,Yellow-olive Flycatcher
,,Tolmomyias assimilis,Yellow-margined Flycatcher,Piquiplano Aliamarillo,R,Yellow-margined Flycatcher
,,Ornithion brunneicapillus,Brown-capped Tyrannulet,Mosquerito Gorricafé,R,Brown-capped Tyrannulet
,,Camptostoma imberbe,Northern Beardless-Tyrannulet,Mosquerito Chillón,"R, M?",Northern Beardless-Tyrannulet
,,Capsiempis flaveola,Yellow Tyrannulet,Mosquerito Amarillo,R,Yellow Tyrannulet
,,Elaenia flavogaster,Yellow-bellied Elaenia,"Elainia Copetona (Tontillo, Bobillo, Copetoncillo)",R,Yellow-bellied Elaenia
,,Elaenia chiriquensis,Lesser Elaenia,Elainia Sabanera (Tontillo),R,Lesser Elaenia
,,Elaenia frantzii,Mountain Elaenia,"Elainia Montañera (Tontillo, Bobillo)",R,Mountain Elaenia
,,Attila spadiceus,Bright-rumped Attila,Atila Lomiamarilla,R,Bright-rumped Attila
,,Rhytipterna holerythra,Rufous Mourner,Plañidera Rojiza,R,Rufous Mourner
,,Myiarchus tuberculifer,Dusky-capped Flycatcher,Copetón Crestioscuro (Tontillo),R,Dusky-capped Flycatcher
,,Myiarchus nuttingi,Nutting's Flycatcher,Copetón de Nutting (Tontillo),R,Nutting's Flycatcher
,,Myiarchus crinitus,Great Crested Flycatcher,Copetón Viajero (Tontillo),M,Great Crested Flycatcher
,,Myiarchus tyrannulus,Brown-crested Flycatcher,Copetón Crestipardo (Tontillo),R,Brown-crested Flycatcher
,,Pitangus sulphuratus,Great Kiskadee,"Bienteveo Grande (Cristo Fue, Pecho Amarillo)",R,Great Kiskadee
,,Megarynchus pitangua,Boat-billed Flycatcher,Mosquerón Picudo (Pecho Amarillo),R,Boat-billed Flycatcher
,,Myiozetetes similis,Social Flycatcher,Mosquero Cejiblanco (Pecho Amarillo),R,Social Flycatcher
,,Myiozetetes granadensis,Gray-capped Flycatcher,Mosquero Cabecigrís (Pecho Amarillo),R,Gray-capped Flycatcher
,,Conopias albovittatus,White-ringed Flycatcher,Mosquero Cabecianillado (Pecho Amarillo),R,White-ringed Flycatcher
,,Myiodynastes maculatus,Streaked Flycatcher,Mosquero Listado (Pecho Amarillo),"R, RR, M",Streaked Flycatcher
,,Myiodynastes luteiventris,Sulphur-bellied Flycatcher,Mosquero Vientriazufrado (Pecho Amarillo),"RR, M",Sulphur-bellied Flycatcher
,,Tyrannus melancholicus,Tropical Kingbird,Tirano Tropical (Pecho Amarillo),R,Tropical Kingbird
,,Tyrannus verticalis,Western Kingbird,Tirano Occidental (Pecho Amarillo),M,Western Kingbird
,,Tyrannus forficatus,Scissor-tailed Flycatcher,Tijereta Rosada (Tijerilla),M,Scissor-tailed Flycatcher
,,Contopus cooperi,Olive-sided Flycatcher,Pibí Boreal (Tontillo),M,Olive-sided Flycatcher
,,Contopus sordidulus,Western Wood-Pewee,"Pibí Occidental (Tontillo, Piguí)","M, R?",Western Wood-Pewee
,,Contopus virens,Eastern Wood-Pewee,"Pibí Oriental (Tontillo, Piguí)",M,Eastern Wood-Pewee
,,Contopus cinereus,Tropical Pewee,"Pibí Tropical (Tontillo, Piguí)",R,Tropical Pewee
,,Empidonax flaviventris,Yellow-bellied Flycatcher,Mosquerito Vientriamarillo,M,Yellow-bellied Flycatcher
,,Empidonax traillii,Willow Flycatcher,Mosquerito de Traill,M,Willow Flycatcher
,,Empidonax minimus,Least Flycatcher,Mosquerito Chebec,M,Least Flycatcher
,,Empidonax flavescens,Yellowish Flycatcher,Mosquerito Amarillento,R,Yellowish Flycatcher
,,Sayornis nigricans,Black Phoebe,Mosquero de Agua,R,Black Phoebe
,,Colonia colonus,Long-tailed Tyrant,Mosquero Coludo,R,Long-tailed Tyrant
,Thamnophilidae,,,,,
,,Cymbilaimus lineatus,Fasciated Antshrike,Batará Lineado,R,Fasciated Antshrike
,,Thamnophilus doliatus,Barred Antshrike,Batará Barreteado,R,Barred Antshrike
,,Thamnophilus atrinucha,Black-crowned Antshrike,Batará Plomizo,R,Black-crowned Antshrike
,,Dysithamnus mentalis,Plain Antvireo,Batarito Cabecigrís,R,Plain Antvireo
,,Dysithamnus striaticeps,Streak-crowned Antvireo,Batarito Pechirrayado,R-END,Streak-crowned Antvireo
,,Myrmotherula axillaris,White-flanked Antwren,Hormiguerito Flanquiblanco,R,White-flanked Antwren
,,Myrmotherula schisticolor,Slaty Antwren,Hormiguerito Pizarroso,R,Slaty Antwren
,,Cercomacroides tyrannina,Dusky Antbird,Hormiguero Negruzco,R,Dusky Antbird
,,Gymnocichla nudiceps,Bare-crowned Antbird,Hormiguero Calvo,R,Bare-crowned Antbird
,,Poliocrania exsul,Chestnut-backed Antbird,Hormiguero Dorsicastaño,R,Chestnut-backed Antbird
,,Sipia laemosticta,Dull-mantled Antbird,Hormiguero Alimaculado,R,Dull-mantled Antbird
,,Hafferia zeledoni,Zeledon's Antbird,Hormiguero de Zeledón,R,Zeledon's Antbird
,,Hylophylax naevioides,Spotted Antbird,Hormiguero Moteado,R,Spotted Antbird
,,Gymnopithys bicolor,Bicolored Antbird,Hormiguero Bicolor,R,Bicolored Antbird
,,Phaenostictus mcleannani,Ocellated Antbird,Hormiguero Ocelado,R,Ocellated Antbird
,Grallariidae,,,,,
,,Grallaria guatimalensis,Scaled Antpitta,Tororoi Dorsiescamado (Hormiguero),R,Scaled Antpitta
,,Hylopezus dives,Thicket Antpitta,Tororoi Pechicanelo (Hormiguero),R-END,Thicket Antpitta
,Formicariidae,,,,,
